Ayr,SPEN,Constrained,275/33,120,55.457321,-4.521345
Bainsford,SPEN,Unconstrained,132/33,60,56.014567,-3.767675
Bathgate,SPEN,Amber,132/33,90,55.900218,-3.672861
Berwick,SPEN,Constrained,132/33,60,55.777031,-2.078931
Bonnybridge,SPEN,Unconstrained,132/33,90,56.008809,-3.859685
Braehead Park,SPEN,Unconstrained,132/33,90,55.880388,-4.380582
Broxburn,SPEN,Unconstrained,132/33,90,55.919568,-3.453668
Carntyne,SPEN,Unconstrained,132/33,60,55.857464,-4.197248
Chapelcross,SPEN,Constrained,132/33,90,55.016286,-3.231809
Charlotte Street,SPEN,Amber,275/33,60,55.855345,-4.23982
Coatbridge,SPEN,Unconstrained,275/33,120,55.852069,-4.014257
Cockenzie,SPEN,Unconstrained,275/33,120,55.967442,-2.966935
Coylton,SPEN,Constrained,275/33,60,55.448171,-4.430021
Crookston,SPEN,Unconstrained,132/33,120,55.8218,-4.364103
Cumbernauld,SPEN,Amber,132/33,45,55.947924,-3.964685
Cupar,SPEN,Unconstrained,132/33,60,56.314123,-3.035882
Currie,SPEN,Unconstrained,132/11,30,55.901384,-3.308443
Dalmarnock,SPEN,Unconstrained,132/33,90,55.835299,-4.204458
Devol Moor,SPEN,Unconstrained,132/33,60,55.916576,-4.709485
Devonside,SPEN,Unconstrained,132/33,90,56.138342,-3.780206
Dewar Place,SPEN,Unconstrained,275/33,120,55.946781,-3.210424
Drumchapel,SPEN,Unconstrained,275/33,80,55.915036,-4.34831
Dumfries,SPEN,Constrained,132/33,90,55.068219,-3.591611
Dunbar,SPEN,Constrained,132/3,60,55.977904,-2.574002
Dunfermline,SPEN,Unconstrained,132/33,90,56.090489,-3.449243
Easterhouse,SPEN,Unconstrained,275/33,120,55.879425,-4.075368
East Kilbride,SPEN,Unconstrained,275/33,120,55.785709,-4.193395
East Kilbride South,SPEN,Amber,275/33,120,55.740317,-4.162496
Eccles,SPEN,Constrained,132/33,60,55.66875,-2.327497
Elderslie,SPEN,Unconstrained,132/33,60,55.840311,-4.464353
Erskine,SPEN,Unconstrained,132/33,60,55.90426,-4.482206
Finnieston,SPEN,Unconstrained,132/33,90,55.863052,-4.285825
Galashields,SPEN,Constrained,132/33,45,55.612171,-2.769696
Giffnock,SPEN,Amber,275/33,120,55.797877,-4.298871
Glenlee,SPEN,Constrained,132/11,30,55.099706,-4.185738
Glenluce,SPEN,Constrained,132/33,60,54.881914,-4.807832
Glenniston,SPEN,Unconstrained,132/33,90,56.111169,-3.271402
Glenrothes,SPEN,Unconstrained,275/33,120,56.207338,-3.200334
Gorgie,SPEN,Unconstrained,132/33,60,55.936206,-3.236345
Govan,SPEN,Unconstrained,132/33,90,55.854574,-4.315351
Grangemouth,SPEN,Unconstrained,275/33,240,56.005162,-3.693689
Haggs Road,SPEN,Unconstrained,132/33,90,55.829514,-4.296125
Hawick,SPEN,Constrained,132/33,60,55.433371,-2.801969
Helensburgh,SPEN,Unconstrained,132/33,60,56.024141,-4.709028
