1,Abernethy,77,2.5,669
2,Balbeggie,77,5,1843
3,Errol,77,5,2526
4,Glendevon,77,8,726
5,Milnathort,77,15,6003
6,Perth Harbour,77,0,0
7,Scone,77,15,3702
8,Rumbling Bridge,77,0,0
9,Balaldie,78,5,1555
10,Contullich,78,0.1,14
11,Crosshills,78,15,3490
12,Glastullich,78,8,841
13,Invergordon,78,15,2680
14,Nigg,78,15,1
15,Peddieston,78,2.5,765
16,Tain,78,15,2422
17,Carnoustie,79,15,5814
18,Charles Avenue,79,10,5648
19,Elliot Depot,79,15,1401
20,Hume Street,79,24,6105
21,Redford,79,8,1260
22,Aird,80,8,978
23,Clachan,80,1,338
24,Drimore,80,2.5,455
25,Loch Carnan,80,21,174
26,Pollachar,80,2.5,1700
27,Stockinish,80,1,416
28,"Tarbert, Harris",80,0,984
29,Aigas,81,0.5,64
30,Blackstand,81,6,1515
31,Conon Bridge,81,6.25,2669
32,Dingwall,81,15,4672
33,Kiltarlity,81,6,749
34,Marybank,81,4,597
35,Muir of Ord,81,24,4145
36,Muirend,81,6,1212
37,North Kessock,81,2.5,912
38,Aviemore,82,24,2919
39,Ballindalloch,82,12.5,1106
40,Boat of Garten,82,0,0
41,Dalwhinnie,82,1,294
42,Grantown,82,15,2530
43,Kingussie,82,7,2148
44,Tomatin,82,2,298
45,Callander,83,8,2528
46,Crieff,83,15,5265
47,Dunblane,83,12.5,5220
48,Forteviot,83,6.3,1048
49,Gleneagles,83,15,4056
50,Kippen,83,8,1881
51,Brechin,84,12.5,4824
52,Bridge of Dun,84,0,0
53,Glaxo,84,0,1
54,Inchbare,84,2.5,381
55,Logie Pert,84,5,313
56,Mill Road,84,0,0
57,Montrose North,84,15,4313
58,St Cyrus,84,8,1152
59,Achintee,85,1,30
60,Broadford,85,0,15
61,Kishorn Hill,85,0,0
62,Kyle,85,5,887
63,Lower Ollach,85,1,403
64,Nostie Bridge,85,4,1175
65,Shieldaig,85,1,415
66,Skulamus,85,4,1206
67,Brora,86,5,1166
68,Dornoch,86,8,1693
69,Golspie,86,3.5,981
70,Helmsdale,86,4,666
71,Burghmuir,87,0,0
72,Goodlyburn,87,12.5,4935
73,North Muirton,87,10,1391
74,Redgorton,87,15,3504
75,Thimblerow,87,21,7813
76,Balliekine,88,1,229
77,Ballure,88,2.5,485
78,Brodick,88,8,2152
79,Campbeltown,88,15,4408
80,Claonaig,88,0.2,74
